ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,2
Basic Problems B,Basic Problem B-03,2
Basic Problems B,Basic Problem B-04,2
Basic Problems B,Basic Problem B-05,2
Basic Problems B,Basic Problem B-06,2
Basic Problems B,Basic Problem B-07,2
Basic Problems B,Basic Problem B-08,2
Basic Problems B,Basic Problem B-09,2
Basic Problems B,Basic Problem B-10,2
Basic Problems B,Basic Problem B-11,2
Basic Problems B,Basic Problem B-12,2
Basic Problems C,Basic Problem C-01,2
Basic Problems C,Basic Problem C-02,2
Basic Problems C,Basic Problem C-03,2
Basic Problems C,Basic Problem C-04,2
Basic Problems C,Basic Problem C-05,2
Basic Problems C,Basic Problem C-06,2
Basic Problems C,Basic Problem C-07,2
Basic Problems C,Basic Problem C-08,2
Basic Problems C,Basic Problem C-09,2
Basic Problems C,Basic Problem C-10,2
Basic Problems C,Basic Problem C-11,2
Basic Problems C,Basic Problem C-12,2
Challenge Problems B,Challenge Problem B-01,2
Challenge Problems B,Challenge Problem B-02,2
Challenge Problems B,Challenge Problem B-03,2
Challenge Problems B,Challenge Problem B-04,2
Challenge Problems B,Challenge Problem B-05,2
Challenge Problems B,Challenge Problem B-06,2
Challenge Problems B,Challenge Problem B-07,2
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,2
Challenge Problems B,Challenge Problem B-10,2
Challenge Problems B,Challenge Problem B-11,2
Challenge Problems B,Challenge Problem B-12,2
Challenge Problems C,Challenge Problem C-01,2
Challenge Problems C,Challenge Problem C-02,2
Challenge Problems C,Challenge Problem C-03,2
Challenge Problems C,Challenge Problem C-04,2
Challenge Problems C,Challenge Problem C-05,2
Challenge Problems C,Challenge Problem C-06,2
Challenge Problems C,Challenge Problem C-07,2
Challenge Problems C,Challenge Problem C-08,2
Challenge Problems C,Challenge Problem C-09,2
Challenge Problems C,Challenge Problem C-10,2
Challenge Problems C,Challenge Problem C-11,2
Challenge Problems C,Challenge Problem C-12,2
